变量名,含义,处理方式/分类,默认值
DISPOSAL,处置方式,标签,N
IPADDR,IP地址,待定,0
ISPCODE,互联网服务提供商,删除,
M_TXNID,模型交易类型,操作方式，转换后使用,待定
SCORE,风险分值,直接使用,0
SESSIONID,会话标识,删除,
STAT_S018,4小时内转账收入金额,收入钱款大小,0
STAT_S019,4小时内转账支出金额,消费钱款大小,0
STAT_S020,4小时内转账收入笔数,收入钱款笔数,0
STAT_S021,4小时内转账支出笔数,消费钱款笔数,0
STAT_S028,,,
STAT_S029,,,
STAT_S030,,,
STAT_S031,,,
STAT_S032,,,
STAT_S033,,,
STAT_S034,,,
STAT_S035,,,
STAT_S036,,,
STAT_S037,,,
STAT_S038,,,
STAT_S043,,,
STAT_S051,,,
STAT_S054,,,
STAT_S055,,,
STAT_S056,,,
STAT_S057,,,
STAT_S058,,,
STAT_S059,,,
STAT_S060,,,
STAT_S061,,,
STAT_S062,,,
STAT_S063,,,
STAT_S064,,,
STAT_S066,,,
STAT_S067,,,
STAT_S068,,,
STAT_S069,,,
STAT_S076,,,
STAT_S077,,,
STAT_S078,,,
STAT_S079,,,
STAT_S080,,,
STAT_S081,,,
STAT_S084,,,
STAT_S086,,,
STAT_S087,,,
STAT_S089,,,
STAT_S092,,,
STAT_S093,,,
STAT_S094,,,
STAT_S095,,,
STAT_S096,,,
STAT_S097,,,
STAT_S101,,,
STAT_S102,,,
STAT_S110,,,
STAT_S112,,,
STAT_S113,,,
STAT_S115,,,
STAT_S116,,,
STAT_S117,,,
STAT_S118,,,
STAT_S119,,,
STAT_S120,,,
STAT_S121,,,
STAT_S122,,,
STAT_S123,,,
STAT_S130,,,
STAT_S132,,,
STAT_S133,,,
STAT_S134,,,
STAT_S140,,,
STAT_S141,,,
STAT_S142,,,
STAT_S145,,,
STAT_S146,,,
STAT_S147,,,
STAT_S148,,,
STAT_S149,,,
STAT_S152,,,
STAT_S160,,,
STAT_S164,,,
STAT_S176,,,
STAT_S178,,,
STAT_S179,,,
STAT_S219,,,
STAT_S220,,,
STAT_S221,,,
STAT_S222,,,
STAT_S224,,,
STAT_S225,,,
STAT_S226,,,
STAT_S227,,,
STAT_S228,,,
STAT_S229,,,
STAT_S230,,,
STAT_S231,,,
STAT_S232,,,
STAT_S233,,,
STAT_S235,,,
STAT_S236,,,
STAT_S237,,,
STAT_S238,,,
STAT_S239,,,
STAT_S243,,,
STAT_S244,,,
STAT_S245,,,
STAT_S250,,,
STAT_S255,,,
STAT_S256,,,
STAT_S257,,,
STAT_S258,,,
STAT_S269,,,
STAT_S271,,,
STAT_S272,,,
STAT_S275,,,
STAT_S276,,,
STAT_S279,,,
STAT_S280,,,
STAT_S290,,,
STAT_S295,,,
STAT_S301,,,
STAT_S304,,,
STAT_S305,,,
STAT_S307,,,
STAT_S309,,,
STAT_S316,,,
STAT_S327,,,
STAT_S329,,,
STAT_S330,,,
STAT_S331,,,
STAT_S332,,,
STAT_S333,,,
STAT_S334,,,
STAT_S335,,,
STAT_S336,,,
STAT_S337,,,
STAT_S338,,,
STAT_S339,,,
STAT_S340,,,
STAT_S343,,,
STAT_S346,,,
STAT_S354,,,
STAT_S367,,,
STAT_S372,,,
STAT_S373,,,
STAT_S375,,,
STAT_S376,,,
STAT_S377,,,
STAT_S380,,,
STAT_S382,,,
STAT_S387,,,
STAT_S391,,,
STAT_S392,,,
STAT_S393,,,
STAT_S394,,,
STAT_S395,,,
STAT_S396,,,
STAT_S397,,,
STAT_S398,,,
STAT_S399,,,
STAT_S400,,,
STAT_S401,,,
STAT_S402,,,
STAT_S403,,,
STAT_S404,,,
STAT_S405,,,
STAT_S406,,,
STAT_S407,,,
STAT_S408,,,
STAT_S409,,,
STAT_S413,,,
STAT_S414,,,
STAT_S415,,,
STAT_S416,,,
STAT_S417,,,
STAT_S419,,,
STAT_S420,,,
STAT_S421,,,
STAT_S422,,,
STAT_S423,,,
STAT_S424,,,
STAT_S425,,,
STAT_S426,,,
STAT_S430,,,
STAT_S431,,,
STAT_S432,,,
STAT_S433,,,
STAT_S434,,,
STAT_S438,,,
STAT_S442,,,
TXNCODE,,,
TXNID,,,
TXNSTATUS,,,
TXNTIME,,,
TXNTYPE,,,
USERID,,,
